SERIAL NUMBER,VIOLATION STATUS, VIOLATION CODE,VIOLATION DESCRIPTION
DA3621622,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA3621662,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA3621695,HOUSING NON-CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DA3621695,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA3621695,HOUSING NON-CRITICAL,H095,STAIRS - PREMISES
DA3621738,HOUSING CRITICAL,H001,COCKROACHES - UNIT
DA3621750,HOUSING CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DA3621750,HOUSING CRITICAL,H001,COCKROACHES - UNIT
DA3621773,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA3621860,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DA3621912,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DA3621945,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA3621945,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DA3621981,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DA3622212,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DA3622453,HOUSING NON-CRITICAL,H044,FAUCET FIXTURES - UNIT
DA3622453,HOUSING NON-CRITICAL,H014,TANK/BASE/BOWL/OTHER - UNIT
DA3622453,HOUSING NON-CRITICAL,H015,TUB/SHOWER STALL - UNIT
DA3622453,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA3622453,HOUSING NON-CRITICAL,H037,VENTILATION - UNIT
DA3622523,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DA3622756,HOUSING NON-CRITICAL,H079,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - PREMISES"
DA3622756,HOUSING NON-CRITICAL,H015,TUB/SHOWER STALL - UNIT
DA3622756,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA3622756,HOUSING NON-CRITICAL,H085,LAUNDRY ROOM/REC ROOM - PREMISES
DA3622761,HOUSING NON-CRITICAL,H079,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - PREMISES"
DA3622761,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA3622761,HOUSING NON-CRITICAL,H085,LAUNDRY ROOM/REC ROOM - PREMISES
DA3622761,HOUSING NON-CRITICAL,H015,TUB/SHOWER STALL - UNIT
DA3622910,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DA3622944,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DA3623717,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DA3623794,HOUSING CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DA3623794,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA3623794,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DA3623817,HOUSING NON-CRITICAL,H095,STAIRS - PREMISES
DA3623817,HOUSING NON-CRITICAL,H063,WATER LINE - PREMISES
DA3624220,HOUSING NON-CRITICAL,H035,WALL/CEILING/FLOOR - MOLD - UNIT
DA3624220,HOUSING CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DA3624220,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA3624220,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA3624220,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA3624220,HOUSING NON-CRITICAL,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT"
DA3624220,HOUSING NON-CRITICAL,H006,NO HOT-WATER - UNIT
DA3624220,HOUSING CRITICAL,H001,COCKROACHES - UNIT
DA3624684,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DA3624694,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DA3625099,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA3625099,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DA3625219,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DA3625219,HOUSING NON-CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DA3625219,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA3625219,HOUSING NON-CRITICAL,H061,RATS/MICE - PREMISES
DA3625309,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA3625309,HOUSING CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DA3625309,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA3625309,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DA3625309,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DA3625309,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DA3625435,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DA3625435,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA3625435,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA3625465,HOUSING NON-CRITICAL,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT"
DA3625465,HOUSING NON-CRITICAL,H036,WINDOWS/SCREENS - UNIT
DA3625465,HOUSING CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DA3625465,HOUSING CRITICAL,H001,COCKROACHES - UNIT
DA3625493,HOUSING CRITICAL,H001,COCKROACHES - UNIT
DA3625573,HOUSING CRITICAL,H017,INOPERABLE - UNIT
DA3625596,HOUSING NON-CRITICAL,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT
DA3625596,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA3625596,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA3625596,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DA3625596,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DA3625596,HOUSING NON-CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DA3625596,HOUSING NON-CRITICAL,H015,TUB/SHOWER STALL - UNIT
DA3625596,HOUSING CRITICAL,H035,WALL/CEILING/FLOOR - MOLD - UNIT
DA3625596,HOUSING CRITICAL,H095,STAIRS - PREMISES
DA3625596,HOUSING CRITICAL,H001,COCKROACHES - UNIT
DA3625596,HOUSING NON-CRITICAL,H094,ROOF - PREMISES
DA3625632,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DA3625785,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DA3625831,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DA3625831,HOUSING CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DA3625831,HOUSING CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DA3625831,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA3625831,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DA3627116,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA3627130,HOUSING CRITICAL,H001,COCKROACHES - UNIT
DA3627208,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DA3627208,HOUSING NON-CRITICAL,H036,WINDOWS/SCREENS - UNIT
DA3627208,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA3627208,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA3627208,HOUSING NON-CRITICAL,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT"
DA3627208,HOUSING NON-CRITICAL,H015,TUB/SHOWER STALL - UNIT
DA3627208,HOUSING NON-CRITICAL,H010,SEWER/DRAIN LINES - UNIT
DA3627208,HOUSING NON-CRITICAL,H009,INADEQUATE FLOW - UNIT
DA3627208,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DA3630303,HOUSING NON-CRITICAL,H036,WINDOWS/SCREENS - UNIT
DA3630303,HOUSING NON-CRITICAL,H085,LAUNDRY ROOM/REC ROOM - PREMISES
DA3630512,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DA3630514,HOUSING NON-CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DA3631284,HOUSING NON-CRITICAL,H095,STAIRS - PREMISES
DA3626134,HOUSING NON-CRITICAL,H036,WINDOWS/SCREENS - UNIT
DA3626134,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DA3626134,HOUSING NON-CRITICAL,H095,STAIRS - PREMISES
DA3626267,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DA3626280,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DA3626317,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA3626330,HOUSING NON-CRITICAL,H044,FAUCET FIXTURES - UNIT
DA3626330,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA3626358,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA3626358,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA3626408,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA3626408,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DA3626408,HOUSING CRITICAL,H001,COCKROACHES - UNIT
DA3626429,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA3626429,HOUSING NON-CRITICAL,H036,WINDOWS/SCREENS - UNIT
DA3626429,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA3626429,HOUSING NON-CRITICAL,H085,LAUNDRY ROOM/REC ROOM - PREMISES
DA3626429,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DA3626429,HOUSING CRITICAL,H001,COCKROACHES - UNIT
DA3626443,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA3626795,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA3626795,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA3626795,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DA3626854,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA3626882,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DA3626883,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DA3626905,HOUSING NON-CRITICAL,H036,WINDOWS/SCREENS - UNIT
DA3626905,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA3626906,HOUSING NON-CRITICAL,H085,LAUNDRY ROOM/REC ROOM - PREMISES
DA3626906,HOUSING NON-CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DA3626968,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA3627004,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA3627504,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DA3627504,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DA3627504,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DA3627535,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DA3628374,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DA3628374,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DA3628485,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DA3628606,HOUSING NON-CRITICAL,H085,LAUNDRY ROOM/REC ROOM - PREMISES
DA3628606,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DA3628717,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DA3628789,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DA3628789,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DA3628789,HOUSING NON-CRITICAL,H031,CAST-OFFS/DEBRIS/WASTE - UNIT
DA3628810,HOUSING CRITICAL,H005,RATS/MICE - UNIT
DA3628810,HOUSING NON-CRITICAL,H020,APPLIANCES - UNIT
DA3628810,HOUSING CRITICAL,H001,COCKROACHES - UNIT
DA3628829,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DA3628876,HOUSING NON-CRITICAL,H067,COVER PLATES - PREMISES
DA3628949,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DA3628997,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DA3629002,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA3629002,HOUSING NON-CRITICAL,H095,STAIRS - PREMISES
DA3629263,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA3629263,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA3629263,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DA3629263,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DA3629263,HOUSING NON-CRITICAL,H094,ROOF - PREMISES
DA3629551,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DA3629569,HOUSING CRITICAL,H001,COCKROACHES - UNIT
DA3630121,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DA3630161,HOUSING CRITICAL,H035,WALL/CEILING/FLOOR - MOLD - UNIT
DA3630161,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DA3630161,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA3630161,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA3630161,HOUSING NON-CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DA3630161,HOUSING NON-CRITICAL,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT"
DA3630161,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DA3630161,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DA3630161,HOUSING CRITICAL,H001,COCKROACHES - UNIT
DA3630161,HOUSING NON-CRITICAL,H094,ROOF - PREMISES
DA3630487,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DA3630487,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA3630487,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA3630487,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DA3630487,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DA3630487,HOUSING NON-CRITICAL,H094,ROOF - PREMISES
DA3630525,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DA3630795,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DA3630795,HOUSING CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DA3630795,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA3630795,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DA3643859,HOUSING CRITICAL,H005,RATS/MICE - UNIT
DA3643859,HOUSING NON-CRITICAL,H045,SINK BASIN - UNIT
DA3643859,HOUSING NON-CRITICAL,H035,WALL/CEILING/FLOOR - MOLD - UNIT
DA3643859,HOUSING NON-CRITICAL,H036,WINDOWS/SCREENS - UNIT
DA3643859,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA3643859,HOUSING NON-CRITICAL,H012,OUTLET/FIXTURES - UNIT
DA3643859,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA3644899,HOUSING NON-CRITICAL,H031,CAST-OFFS/DEBRIS/WASTE - UNIT
DA3631802,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DA3631926,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA3631926,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DA3631926,HOUSING CRITICAL,H001,COCKROACHES - UNIT
DA3631931,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA3631931,HOUSING NON-CRITICAL,H036,WINDOWS/SCREENS - UNIT
DA3631931,HOUSING CRITICAL,H001,COCKROACHES - UNIT
DA3631994,HOUSING CRITICAL,H095,STAIRS - PREMISES
DA3632023,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DA3632023,HOUSING NON-CRITICAL,H095,STAIRS - PREMISES
DA3632030,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DA3632030,HOUSING NON-CRITICAL,H095,STAIRS - PREMISES
DA3632076,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA3632076,HOUSING NON-CRITICAL,H036,WINDOWS/SCREENS - UNIT
DA3632076,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA3632187,HOUSING NON-CRITICAL,H095,STAIRS - PREMISES
DA3632187,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA3632187,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA3632233,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DA3632290,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DA3632350,HOUSING CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DA3632371,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DA3632389,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DA3632395,HOUSING CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DA3633135,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA3633135,HOUSING NON-CRITICAL,H005,RATS/MICE - UNIT
DA3633135,HOUSING CRITICAL,H001,COCKROACHES - UNIT
DA3633170,HOUSING CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DA3633415,HOUSING NON-CRITICAL,H036,WINDOWS/SCREENS - UNIT
DA3633415,HOUSING CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA3634271,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA3634271,HOUSING NON-CRITICAL,H036,WINDOWS/SCREENS - UNIT
DA3634271,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA3634349,HOUSING NON-CRITICAL,H036,WINDOWS/SCREENS - UNIT
DA3634349,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA3634349,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA3634577,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA3634577,HOUSING NON-CRITICAL,H036,WINDOWS/SCREENS - UNIT
DA3634577,HOUSING CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DA3634577,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA3634577,HOUSING NON-CRITICAL,H020,APPLIANCES - UNIT
DA3634683,HOUSING NON-CRITICAL,H094,ROOF - PREMISES
DA3634880,HOUSING CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DA3634880,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA3634880,HOUSING NON-CRITICAL,H094,ROOF - PREMISES
DA3634960,HOUSING CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DA3634960,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA3634960,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DA3634960,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DA3634960,HOUSING NON-CRITICAL,H094,ROOF - PREMISES
DA3634994,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DA3635033,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA3635033,HOUSING NON-CRITICAL,H095,STAIRS - PREMISES
DA3635107,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA3635164,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA3635164,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA3635236,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA3635246,HOUSING CRITICAL,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT
DA3635246,HOUSING NON-CRITICAL,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT"
DA3635246,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA3635246,HOUSING NON-CRITICAL,H036,WINDOWS/SCREENS - UNIT
DA3635246,HOUSING NON-CRITICAL,H006,NO HOT-WATER - UNIT
DA3635274,HOUSING NON-CRITICAL,H095,STAIRS - PREMISES
DA3635491,HOUSING NON-CRITICAL,H086,REFUSE AREA/BINS - PREMISES
DA3635491,HOUSING NON-CRITICAL,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT"
DA3635491,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA3635491,HOUSING NON-CRITICAL,H016,FIXTURES - UNIT
DA3635491,HOUSING NON-CRITICAL,H036,WINDOWS/SCREENS - UNIT
DA3635531,HOUSING NON-CRITICAL,H014,TANK/BASE/BOWL/OTHER - UNIT
DA3635531,HOUSING NON-CRITICAL,H085,LAUNDRY ROOM/REC ROOM - PREMISES
DA3635531,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA3635553,HOUSING NON-CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DA3635697,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA3635697,HOUSING CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DA3635697,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA3635697,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DA3635697,HOUSING NON-CRITICAL,H094,ROOF - PREMISES
DA3635877,HOUSING CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DA3635933,HOUSING CRITICAL,H001,COCKROACHES - UNIT
DA3636003,HOUSING NON-CRITICAL,H085,LAUNDRY ROOM/REC ROOM - PREMISES
DA3636223,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA3636223,HOUSING NON-CRITICAL,H016,FIXTURES - UNIT
DA3636223,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA3636223,HOUSING NON-CRITICAL,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT"
DA3636223,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA3636223,HOUSING NON-CRITICAL,H044,FAUCET FIXTURES - UNIT
DA3636223,HOUSING NON-CRITICAL,H035,WALL/CEILING/FLOOR - MOLD - UNIT
DA3636223,HOUSING NON-CRITICAL,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT
DA3636223,HOUSING NON-CRITICAL,H005,RATS/MICE - UNIT
DA3636223,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DA3636223,HOUSING NON-CRITICAL,H094,ROOF - PREMISES
DA3636223,HOUSING CRITICAL,H001,COCKROACHES - UNIT
DA3636267,HOUSING NON-CRITICAL,H016,FIXTURES - UNIT
DA3636267,HOUSING NON-CRITICAL,H020,APPLIANCES - UNIT
DA3636267,HOUSING NON-CRITICAL,H015,TUB/SHOWER STALL - UNIT
DA3636267,HOUSING CRITICAL,H001,COCKROACHES - UNIT
DA3639739,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA3637903,HOUSING NON-CRITICAL,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES
DA3637960,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA3637966,HOUSING NON-CRITICAL,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA3637966,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DA3637966,HOUSING NON-CRITICAL,H036,WINDOWS/SCREENS - UNIT
DA3637966,HOUSING CRITICAL,H001,COCKROACHES - UNIT
DA3637975,HOUSING NON-CRITICAL,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DA3637975,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DA3637975,HOUSING NON-CRITICAL,H092,WINDOWS/SCREENS - PREMISES
DA3638002,HOUSING NON-CRITICAL,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA3638002,HOUSING NON-CRITICAL,H083,INADEQUATE LIGHTING - PREMISES
DA3638137,HOUSING NON-CRITICAL,H096,VENT SCREENS - PREMISES
DA3638144,HOUSING NON-CRITICAL,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT
