SERIAL NUMBER,VIOLATION STATUS, VIOLATION CODE,VIOLATION DESCRIPTION
DA4573109,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT"
DA4573109,OUT OF COMPLIANCE,H012,OUTLET/FIXTURES - UNIT
DA4573109,OUT OF COMPLIANCE,RH25,SEWER/DRAIN LINES - UNIT
DA4573109,OUT OF COMPLIANCE,RH31,LIGHTING - UNIT
DA4573109,OUT OF COMPLIANCE,RH26,SEWER/DRAIN LINES - PREMISES
DA4573109,OUT OF COMPLIANCE,RH09,WINDOWS/SCREENS - UNIT
DA4573109,OUT OF COMPLIANCE,RH51,APPLIANCES/FURNITURE - UNIT
DA4573589,OUT OF COMPLIANCE,RH03,WALL/CEILING/FLOOR - GENERAL - UNIT
DA4573727,OUT OF COMPLIANCE,RH03,WALL/CEILING/FLOOR - GENERAL - UNIT
DA4573968,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT
DA4573968,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA4573968,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA4573968,OUT OF COMPLIANCE,H010,SEWER/DRAIN LINES - UNIT
DA4574264,OUT OF COMPLIANCE,H006,NO HOT-WATER - UNIT
DA4574629,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT
DA4574629,OUT OF COMPLIANCE,RH03,WALL/CEILING/FLOOR - GENERAL - UNIT
DA4574629,OUT OF COMPLIANCE,RH11,VENTILATION - UNIT
DA4576296,OUT OF COMPLIANCE,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA4590118,OUT OF COMPLIANCE,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA4575832,OUT OF COMPLIANCE,H010,SEWER/DRAIN LINES - UNIT
DA4576741,OUT OF COMPLIANCE,H010,SEWER/DRAIN LINES - UNIT
DA4576741,OUT OF COMPLIANCE,RH03,WALL/CEILING/FLOOR - GENERAL - UNIT
DA4576918,OUT OF COMPLIANCE,H086,REFUSE AREA/BINS - PREMISES
DA4577415,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT
DA4577586,HOUSING NON-CRITICAL,H045,SINK BASIN - UNIT
DA4577586,HOUSING NON-CRITICAL,H012,OUTLET/FIXTURES - UNIT
DA4577586,HOUSING CRITICAL,RH35,TUB/SHOWER STALL/SHOWER FIXTURES - UNIT
DA4577586,HOUSING CRITICAL,RH49,HEATING SYSTEM - UNIT
DA4577586,HOUSING NON-CRITICAL,H007,WATER LINE - UNIT
DA4577586,HOUSING CRITICAL,H006,NO HOT-WATER - UNIT
DA4577936,OUT OF COMPLIANCE,H007,WATER LINE - UNIT
DA4577936,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA4577936,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT
DA4578076,OUT OF COMPLIANCE,H066,SEWER/DRAIN LINES - PREMISES
DA4578076,OUT OF COMPLIANCE,H096,VENT SCREENS - PREMISES
DA4578076,OUT OF COMPLIANCE,H057,COCKROACHES - PREMISES
DA4578076,OUT OF COMPLIANCE,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA4578099,OUT OF COMPLIANCE,RH39, COCKROACHES - UNIT
DA4578402,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT
DA4579095,OUT OF COMPLIANCE,RH14,STAIRS - PREMISES
